X1,X2,y
0.107143,0.60307,1
0.093318,0.649854,1
0.0979263,0.705409,1
0.15553,0.784357,1
0.210829,0.866228,1
0.328341,0.929094,1
0.429724,0.934942,1
0.620968,0.934942,1
0.756912,0.910088,1
0.819124,0.879386,1
0.809908,0.836988,1
0.75,0.819444,1
0.773041,0.854532,1
0.770737,0.88962,1
0.766129,0.899854,1
0.779954,0.835526,1
0.75,0.791667,1
0.761521,0.765351,1
0.814516,0.832602,1
0.814516,0.885234,1
0.563364,0.921784,1
0.49424,0.899854,1
0.480415,0.863304,1
0.448157,0.819444,1
0.425115,0.857456,1
0.450461,0.899854,1
0.510369,0.937865,1
0.498848,0.945175,1
0.351382,0.934942,1
0.273041,0.901316,1
0.233871,0.861842,1
0.215438,0.858918,1
0.134793,0.861842,1
0.0748848,0.872076,1
0.0587558,0.872076,1
0.10023,0.83845,1
0.120968,0.83114,1
0.132488,0.813596,1
0.137097,0.774123,1
0.116359,0.749269,1
0.104839,0.727339,1
0.107143,0.699561,1
0.0910138,0.65424,1
0.0679724,0.633772,1
0.0679724,0.623538,1
0.093318,0.585526,1
0.162442,0.579678,1
0.178571,0.59576,1
0.144009,0.642544,1
0.109447,0.645468,1
0.146313,0.703947,1
0.148618,0.741959,1
0.160138,0.777047,1
0.123272,0.791667,1
0.104839,0.815058,1
0.0817972,0.82383,1
0.0587558,0.88231,1
0.0956221,0.894006,1
0.144009,0.88962,1
0.169355,0.864766,1
0.164747,0.844298,1
0.118664,0.839912,1
0.162442,0.883772,1
0.236175,0.899854,1
0.27765,0.936404,1
0.298387,0.955409,1
0.337558,0.961257,1
0.342166,0.958333,1
0.293779,0.93348,1
0.259217,0.924708,1
0.252304,0.942251,1
0.213134,0.921784,1
0.203917,0.891082,1
0.192396,0.880848,1
0.362903,0.961257,1
0.418203,0.964181,1
0.429724,0.967105,1
0.390553,0.942251,1
0.390553,0.936404,1
0.418203,0.923246,1
0.413594,0.901316,1
0.41129,0.888158,1
0.457373,0.864766,1
0.46659,0.848684,1
0.508065,0.907164,1
0.521889,0.927632,1
0.434332,0.93348,1
0.448157,0.958333,1
0.464286,0.972953,1
0.508065,0.956871,1
0.524194,0.934942,1
0.567972,0.927632,1
0.586406,0.955409,1
0.591014,0.958333,1
0.625576,0.952485,1
0.662442,0.949561,1
0.690092,0.936404,1
0.68318,0.923246,1
0.740783,0.91886,1
0.766129,0.914474,1
0.715438,0.892544,1
0.729263,0.88962,1
0.745392,0.875,1
0.738479,0.850146,1
0.738479,0.839912,1
0.779954,0.81652,1
0.8053,0.798977,1
0.796083,0.790205,1
0.782258,0.763889,1
0.766129,0.756579,1
0.720046,0.842836,1
0.738479,0.88962,1
0.740783,0.923246,1
0.715438,0.939327,1
0.676267,0.940789,1
0.637097,0.921784,1
0.680876,0.915936,1
0.740783,0.915936,1
0.756912,0.937865,1
0.77765,0.951023,1
0.832949,0.91886,1
0.779954,0.872076,1
0.77765,0.85307,1
0.770737,0.92617,1
0.671659,0.955409,1
0.574885,0.946637,1
0.544931,0.929094,1
0.503456,0.914474,1
0.443548,0.923246,1
0.390553,0.930556,1
0.337558,0.92617,1
0.369816,0.923246,1
0.436636,0.910088,1
0.535714,0.959795,1
0.457373,0.959795,1
0.422811,0.939327,1
0.408986,0.905702,1
0.367512,0.908626,1
0.314516,0.920322,1
0.332949,0.924708,1
0.457373,0.923246,1
0.508065,0.914474,1
0.473502,0.949561,1
0.538018,0.962719,1
0.697005,0.955409,1
0.75,0.951023,1
0.800691,0.913012,1
0.823733,0.864766,1
0.710829,0.861842,1
0.701613,0.886696,1
0.637097,0.910088,1
0.593318,0.917398,1
0.563364,0.917398,1
0.540323,0.910088,1
0.510369,0.883772,1
0.501152,0.863304,1
0.480415,0.841374,1
0.432028,0.855994,1
0.404378,0.876462,1
0.365207,0.898392,1
0.314516,0.898392,1
0.27765,0.895468,1
0.263825,0.891082,1
0.236175,0.875,1
0.22235,0.86038,1
0.1947,0.850146,1
0.171659,0.834064,1
0.176267,0.819444,1
0.18318,0.787281,1
0.160138,0.753655,1
0.111751,0.747807,1
0.0887097,0.739035,1
0.093318,0.701023,1
0.125576,0.68348,1
0.162442,0.65424,1
0.12788,0.630848,1
0.134793,0.58845,1
0.185484,0.58845,1
0.192396,0.625,1
0.132488,0.664474,1
0.10023,0.670322,1
0.0748848,0.671784,1
0.0702765,0.705409,1
0.093318,0.721491,1
0.10023,0.752193,1
0.0656682,0.759503,1
0.0817972,0.774123,1
0.0979263,0.774123,1
0.821429,0.89693,1
0.858295,0.84576,1
0.814516,0.820906,1
0.789171,0.798977,1
0.791475,0.749269,1
0.37212,0.851608,0
0.351382,0.863304,0
0.3053,0.854532,0
0.323733,0.841374,0
0.289171,0.834064,0
0.27765,0.829678,0
0.293779,0.810673,0
0.298387,0.801901,0
0.31682,0.841374,0
0.353687,0.834064,0
0.353687,0.82383,0
0.3053,0.804825,0
0.291475,0.784357,0
0.261521,0.800439,0
0.268433,0.800439,0
0.270737,0.81652,0
0.247696,0.806287,0
0.259217,0.781433,0
0.261521,0.778509,0
0.233871,0.762427,0
0.229263,0.725877,0
0.266129,0.706871,0
0.302995,0.696637,0
0.293779,0.679094,0
0.268433,0.66155,0
0.282258,0.652778,0
0.312212,0.644006,0
0.349078,0.626462,0
0.351382,0.605994,0
0.379032,0.58114,0
0.420507,0.553363,0
0.379032,0.529971,0
0.346774,0.518275,0
0.337558,0.525585,0
0.346774,0.565058,0
0.360599,0.584064,0
0.319124,0.620614,0
0.328341,0.66886,0
0.335253,0.682018,0
0.307604,0.730263,0
0.3053,0.763889,0
0.319124,0.809211,0
0.335253,0.820906,0
0.360599,0.828216,0
0.388249,0.822368,0
0.404378,0.798977,0
0.413594,0.788743,0
0.374424,0.768275,0
0.365207,0.765351,0
